source_dataset,image_path,source_label,canonical_label,split_role,include_in_known_training,notes,split,true_label,pred_label,pred_index,confidence,max_logit,energy,prob_cardboard,prob_glass,prob_metal,prob_paper,prob_plastic,mahalanobis_min_distance,mahalanobis_knownness,mahalanobis_nearest_class
trashbox,ml/data/raw/trashbox/paper/paper 961.jpg,paper,paper,known,true,Known 5-class label,known_val,paper,paper,3,0.9740172028541565,4.542064666748047,-4.568390846252441,0.0005279691540636122,0.003279601689428091,0.01828637905418873,0.9740172028541565,0.0038887630216777325,834.182373046875,-834.182373046875,paper
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_1390.jpg,cardboard,cardboard,known,true,Known 5-class label,known_val,cardboard,cardboard,0,0.9999251365661621,11.982150077819824,-11.982224464416504,0.9999251365661621,2.2543284572407174e-08,9.653930987951753e-09,7.488705887226388e-05,6.787221451531877e-09,1395.4208984375,-1395.4208984375,cardboard
realwaste,ml/data/raw/realwaste/Plastic/Plastic_909.jpg,plastic,plastic,known,true,Known 5-class label if present,known_val,plastic,plastic,4,0.9999902248382568,10.512301445007324,-10.512310981750488,9.782880852071685e-07,1.6922849681577645e-06,6.934147677384317e-06,1.7862257095657696e-07,0.9999902248382568,1063.0201416015625,-1063.0201416015625,plastic
trashbox,ml/data/raw/trashbox/metal/metal 526.jpg,metal,metal,known,true,Known 5-class label,known_val,metal,plastic,4,0.995089590549469,6.568047046661377,-6.572969436645508,0.00021765845303889364,0.0006277758511714637,0.004060162231326103,4.8663273446436506e-06,0.995089590549469,2646.825439453125,-2646.825439453125,plastic
trashnet,ml/data/raw/trashnet/glass/glass350.jpg,glass,glass,known,true,Known 5-class label,known_val,glass,glass,1,0.9984281063079834,6.374759674072266,-6.376332759857178,0.0006929287337698042,0.9984281063079834,0.000616333563812077,0.00021705463586840779,4.554409679258242e-05,1213.263427734375,-1213.263427734375,glass
garbage_v2,ml/data/raw/garbage_v2/glass/glass_489.jpg,glass,glass,known,true,Known 5-class label,known_val,glass,glass,1,0.9991436004638672,9.86203384399414,-9.862890243530273,3.0950971563470375e-08,0.9991436004638672,1.776075237103214e-06,1.6878557289601304e-06,0.0008529086480848491,479.5174255371094,-479.5174255371094,glass
garbage_v2,ml/data/raw/garbage_v2/metal/metal_183.jpg,metal,metal,known,true,Known 5-class label,known_val,metal,metal,2,0.9999996423721313,13.309576034545898,-13.309576034545898,4.70482746095513e-08,1.2109459213149876e-08,0.9999996423721313,6.541045394214962e-08,1.8268083579187078e-07,1171.564697265625,-1171.564697265625,metal
trashbox,ml/data/raw/trashbox/glass/glass 318.jpg,glass,glass,known,true,Known 5-class label,known_val,glass,glass,1,0.9999940395355225,11.059083938598633,-11.059089660644531,3.321460440020019e-08,0.9999940395355225,3.1310710255638696e-06,1.745863983160234e-06,1.1226218248339137e-06,977.9301147460938,-977.9301147460938,glass
trashbox,ml/data/raw/trashbox/cardboard/cardboard 2300.jpg,cardboard,cardboard,known,true,Known 5-class label,known_val,cardboard,cardboard,0,0.9999653100967407,11.049566268920898,-11.049600601196289,0.9999653100967407,1.2150694317369926e-07,9.205453466165636e-07,3.363493669894524e-05,1.603979704611902e-08,704.1184692382812,-704.1184692382812,cardboard
trashnet,ml/data/raw/trashnet/paper/paper563.jpg,paper,paper,known,true,Known 5-class label,known_val,paper,paper,3,0.9684680700302124,5.7379889488220215,-5.770028591156006,0.001924833981320262,8.985794920590706e-06,0.02899806946516037,0.9684680700302124,0.000599950086325407,682.3892211914062,-682.3892211914062,paper
trashnet,ml/data/raw/trashnet/paper/paper494.jpg,paper,paper,known,true,Known 5-class label,known_val,paper,paper,3,0.9999421834945679,12.234244346618652,-12.234302520751953,5.782487278338522e-05,9.578180026892369e-09,3.3161149382010535e-09,0.9999421834945679,3.620432664774853e-08,1661.7200927734375,-1661.7200927734375,paper
trashbox,ml/data/raw/trashbox/paper/paper 694.jpg,paper,paper,known,true,Known 5-class label,known_val,paper,paper,3,0.9251320362091064,5.421990394592285,-5.499809265136719,1.8877413822337985e-05,0.00021339923841878772,0.07018525153398514,0.9251320362091064,0.004450409673154354,737.13916015625,-737.13916015625,paper
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_626.jpg,plastic,plastic,known,true,Known 5-class label,known_val,plastic,plastic,4,0.999433696269989,7.382411956787109,-7.382978439331055,1.534240072942339e-05,0.0003649202990345657,8.940190309658647e-05,9.660318755777553e-05,0.999433696269989,491.66552734375,-491.66552734375,plastic
trashbox,ml/data/raw/trashbox/plastic/plastic 2422.jpg,plastic,plastic,known,true,Known 5-class label,known_val,plastic,metal,2,0.8124892711639404,3.260113477706909,-3.467766046524048,0.001437065307982266,0.005378503352403641,0.8124892711639404,0.12208539247512817,0.05860976129770279,700.4071655273438,-700.4071655273438,metal
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_513.jpg,plastic,plastic,known,true,Known 5-class label,known_val,plastic,plastic,4,0.9999991655349731,13.088804244995117,-13.088805198669434,2.3985753827560075e-08,7.607845304846705e-07,1.0724856558397278e-09,4.508433804062406e-08,0.9999991655349731,1251.5159912109375,-1251.5159912109375,plastic
garbage_v2,ml/data/raw/garbage_v2/glass/glass_502.jpg,glass,glass,known,true,Known 5-class label,known_val,glass,glass,1,1.0,22.162622451782227,-22.162622451782227,6.491585291231242e-14,1.0,5.530794463907973e-14,3.570566168713306e-15,2.2954489871385153e-12,3593.345947265625,-3593.345947265625,glass
trashbox,ml/data/raw/trashbox/paper/paper 1350.jpg,paper,paper,known,true,Known 5-class label,known_val,paper,paper,3,0.9772197604179382,6.827782154083252,-6.850825786590576,5.521219918591669e-06,4.4866294047096744e-05,0.00028834224212914705,0.9772197604179382,0.022441457957029343,734.9063720703125,-734.9063720703125,paper
trashnet,ml/data/raw/trashnet/cardboard/cardboard396.jpg,cardboard,cardboard,known,true,Known 5-class label,known_val,cardboard,cardboard,0,0.9999982118606567,13.390266418457031,-13.390268325805664,0.9999982118606567,5.031452587900276e-09,4.79147885812381e-08,1.7466140889155213e-06,2.2931584409136008e-10,1353.3377685546875,-1353.3377685546875,cardboard
trashbox,ml/data/raw/trashbox/metal/metal 1526.jpg,metal,metal,known,true,Known 5-class label,known_val,metal,metal,2,0.9998190999031067,9.560211181640625,-9.560392379760742,1.7152265172626358e-06,0.00017237488646060228,0.9998190999031067,2.7237419999437407e-06,3.994248345406959e-06,942.8388061523438,-942.8388061523438,metal
garbage_v2,ml/data/raw/garbage_v2/glass/glass_373.jpg,glass,glass,known,true,Known 5-class label,known_val,glass,glass,1,0.9999637603759766,12.934556007385254,-12.934592247009277,4.091239499959265e-11,0.9999637603759766,3.269741137046367e-05,1.7921963912925776e-09,3.5417417620919878e-06,897.3452758789062,-897.3452758789062,glass
garbage_v2,ml/data/raw/garbage_v2/paper/paper_1095.jpg,paper,paper,known,true,Known 5-class label,known_val,paper,paper,3,0.888168454170227,9.471061706542969,-9.589655876159668,0.11183099448680878,5.109261991265157e-08,4.617315028099256e-07,0.888168454170227,7.516065103629899e-09,1998.61279296875,-1998.61279296875,paper
trashbox,ml/data/raw/trashbox/cardboard/cardboard 448.jpg,cardboard,cardboard,known,true,Known 5-class label,known_val,cardboard,cardboard,0,0.9999998807907104,14.762314796447754,-14.762314796447754,0.9999998807907104,1.8959283032415897e-09,2.2406906885485967e-10,7.200368656867795e-08,1.4473617859778187e-09,1287.5047607421875,-1287.5047607421875,cardboard
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_1176.jpg,cardboard,cardboard,known,true,Known 5-class label,known_val,cardboard,paper,3,0.9999988079071045,13.779431343078613,-13.77943229675293,1.1982451724179555e-06,3.397777614821962e-09,1.1797074428443466e-08,0.9999988079071045,2.681348476585299e-10,2274.67236328125,-2274.67236328125,paper
trashbox,ml/data/raw/trashbox/paper/paper 2550.jpg,paper,paper,known,true,Known 5-class label,known_val,paper,paper,3,0.9993404746055603,8.182948112487793,-8.183608055114746,1.882563992694486e-05,4.375177013571374e-05,0.0005945708253420889,0.9993404746055603,2.395836872892687e-06,829.3869018554688,-829.3869018554688,paper
trashbox,ml/data/raw/trashbox/cardboard/cardboard 93.jpg,cardboard,cardboard,known,true,Known 5-class label,known_val,cardboard,cardboard,0,0.9967237114906311,5.8468732833862305,-5.850154876708984,0.9967237114906311,0.0003079170419368893,0.0016835142159834504,0.0006432487280108035,0.0006416135001927614,1166.4754638671875,-1166.4754638671875,cardboard
trashnet,ml/data/raw/trashnet/plastic/plastic459.jpg,plastic,plastic,known,true,Known 5-class label,known_val,plastic,paper,3,0.6265352368354797,4.427940368652344,-4.895490646362305,1.2203341611893848e-05,4.696748874266632e-05,0.08202303946018219,0.6265352368354797,0.2913826107978821,1652.435791015625,-1652.435791015625,paper
realwaste,ml/data/raw/realwaste/Metal/Metal_458.jpg,metal,metal,known,true,Known 5-class label if present,known_val,metal,metal,2,1.0,22.30482292175293,-22.30482292175293,2.019978549865401e-15,1.621119823666875e-13,1.0,4.8817283630200534e-14,2.1710688802301092e-10,2197.23486328125,-2197.23486328125,metal
trashbox,ml/data/raw/trashbox/plastic/plastic 753.jpg,plastic,plastic,known,true,Known 5-class label,known_val,plastic,plastic,4,0.9911444783210754,8.143980979919434,-8.152875900268555,9.663280252425466e-06,2.900319941545604e-06,6.652888941971469e-07,0.008842259645462036,0.9911444783210754,1667.1473388671875,-1667.1473388671875,plastic
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_1350.jpg,cardboard,cardboard,known,true,Known 5-class label,known_val,cardboard,cardboard,0,0.9999841451644897,12.248321533203125,-12.248337745666504,0.9999841451644897,1.2761029211105779e-06,1.2428964524247021e-08,1.4573976841347758e-05,1.2083332112666767e-09,1311.1741943359375,-1311.1741943359375,cardboard
trashnet,ml/data/raw/trashnet/glass/glass138.jpg,glass,glass,known,true,Known 5-class label,known_val,glass,glass,1,0.9999990463256836,17.17780303955078,-17.17780303955078,7.079818502286894e-14,0.9999990463256836,2.4545154103661204e-11,5.800948610357182e-11,9.53067853970424e-07,1218.2615966796875,-1218.2615966796875,glass
trashbox,ml/data/raw/trashbox/cardboard/cardboard 2005.jpg,cardboard,cardboard,known,true,Known 5-class label,known_val,cardboard,cardboard,0,0.9986230134963989,9.009852409362793,-9.01123046875,0.9986230134963989,1.1912054560525576e-06,4.595965492626419e-06,0.0013697935501113534,1.3283979569678195e-06,655.6500854492188,-655.6500854492188,cardboard
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_580.jpg,cardboard,cardboard,known,true,Known 5-class label,known_val,cardboard,cardboard,0,0.9999762773513794,11.490128517150879,-11.490152359008789,0.9999762773513794,2.809513510726447e-08,4.537521469671901e-09,1.3026372016611276e-06,2.241750917164609e-05,1101.95556640625,-1101.95556640625,cardboard
realwaste,ml/data/raw/realwaste/Metal/Metal_681.jpg,metal,metal,known,true,Known 5-class label if present,known_val,metal,metal,2,0.997358500957489,7.090757369995117,-7.09340238571167,4.4248223275644705e-05,5.14097700943239e-05,0.997358500957489,9.009402128867805e-05,0.0024556294083595276,843.08349609375,-843.08349609375,metal
realwaste,ml/data/raw/realwaste/Metal/Metal_592.jpg,metal,metal,known,true,Known 5-class label if present,known_val,metal,metal,2,0.9999990463256836,14.46115779876709,-14.461158752441406,1.217556194754721e-10,7.110457778125578e-10,0.9999990463256836,1.0749236878382362e-07,8.452366273559164e-07,843.7407836914062,-843.7407836914062,metal
trashbox,ml/data/raw/trashbox/paper/paper 102.jpg,paper,paper,known,true,Known 5-class label,known_val,paper,paper,3,1.0,13.843259811401367,-13.843259811401367,2.0302204362110388e-09,3.257467184880625e-08,5.361767918543592e-09,1.0,4.690797084094811e-08,1600.2198486328125,-1600.2198486328125,paper
realwaste,ml/data/raw/realwaste/Plastic/Plastic_645.jpg,plastic,plastic,known,true,Known 5-class label if present,known_val,plastic,plastic,4,0.9998243451118469,8.520870208740234,-8.521045684814453,1.1451742238932638e-06,8.322715075337328e-06,0.00012583470379468054,4.034845915157348e-05,0.9998243451118469,831.9548950195312,-831.9548950195312,plastic
trashnet,ml/data/raw/trashnet/plastic/plastic346.jpg,plastic,plastic,known,true,Known 5-class label,known_val,plastic,plastic,4,0.9990447163581848,9.761306762695312,-9.762262344360352,1.5350979154504785e-08,0.0009489587973803282,5.080156370240729e-06,1.1798774721683003e-06,0.9990447163581848,1253.80029296875,-1253.80029296875,plastic
realwaste,ml/data/raw/realwaste/Paper/Paper_205.jpg,paper,paper,known,true,Known 5-class label if present,known_val,paper,paper,3,0.7718169689178467,3.052990674972534,-3.3119983673095703,0.17260077595710754,0.04271576553583145,0.012336893007159233,0.7718169689178467,0.0005295973387546837,718.3152465820312,-718.3152465820312,paper
realwaste,ml/data/raw/realwaste/Glass/Glass_14.jpg,glass,glass,known,true,Known 5-class label if present,known_val,glass,glass,1,0.4116995930671692,4.302855968475342,-5.190317153930664,3.858323543681763e-05,0.4116995930671692,0.21618516743183136,1.5244313544826582e-06,0.3720751106739044,1025.8863525390625,-1025.8863525390625,glass
garbage_v2,ml/data/raw/garbage_v2/glass/glass_679.jpg,glass,glass,known,true,Known 5-class label,known_val,glass,glass,1,0.5155755877494812,8.189972877502441,-8.85244369506836,5.930477797733147e-08,0.5155755877494812,1.9510778201947687e-06,2.8360048531794746e-07,0.48442205786705017,957.2150268554688,-957.2150268554688,plastic
trashbox,ml/data/raw/trashbox/metal/metal 1025.jpg,metal,metal,known,true,Known 5-class label,known_val,metal,metal,2,0.9999912977218628,13.861320495605469,-13.861329078674316,1.734133808772853e-10,8.693108611623757e-06,0.9999912977218628,2.0347112883456475e-09,4.936777031616657e-08,1086.4346923828125,-1086.4346923828125,metal
garbage_v2,ml/data/raw/garbage_v2/metal/metal_807.jpg,metal,metal,known,true,Known 5-class label,known_val,metal,metal,2,0.9961413741111755,8.72597599029541,-8.729842185974121,4.955069925927091e-06,0.003824440063908696,0.9961413741111755,2.859632149920799e-05,5.405723868534551e-07,1601.6644287109375,-1601.6644287109375,metal
trashbox,ml/data/raw/trashbox/cardboard/cardboard 844.jpg,cardboard,cardboard,known,true,Known 5-class label,known_val,cardboard,cardboard,0,0.9999994039535522,14.020869255065918,-14.020870208740234,0.9999994039535522,1.607908362011301e-09,1.3549563249171115e-08,5.906120463805564e-07,1.501982704876781e-10,1070.542724609375,-1070.542724609375,cardboard
garbage_v2,ml/data/raw/garbage_v2/glass/glass_1622.jpg,glass,glass,known,true,Known 5-class label,known_val,glass,plastic,4,0.620686411857605,9.093932151794434,-9.57086181640625,1.6795841162320357e-08,0.37931305170059204,5.679655146195728e-07,1.7605517044216867e-08,0.620686411857605,1748.8759765625,-1748.8759765625,plastic
trashbox,ml/data/raw/trashbox/plastic/plastic 1344.jpg,plastic,plastic,known,true,Known 5-class label,known_val,plastic,plastic,4,0.9999938011169434,15.073448181152344,-15.073453903198242,1.573880609173628e-11,6.226163804967655e-06,7.105783739191907e-10,3.64597269042477e-10,0.9999938011169434,1759.84912109375,-1759.84912109375,plastic
trashbox,ml/data/raw/trashbox/paper/paper 233.jpg,paper,paper,known,true,Known 5-class label,known_val,paper,paper,3,0.9995394945144653,9.548072814941406,-9.54853343963623,0.00045818102080374956,1.33675484903506e-06,2.982350508773379e-07,0.9995394945144653,7.006829605415987e-07,1929.040771484375,-1929.040771484375,paper
trashbox,ml/data/raw/trashbox/glass/glass 296.jpg,glass,glass,known,true,Known 5-class label,known_val,glass,glass,1,0.9967321157455444,9.383974075317383,-9.387247085571289,8.204012402757144e-08,0.9967321157455444,3.849087079288438e-06,7.517329549955321e-07,0.0032633047085255384,719.4893188476562,-719.4893188476562,glass
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_1115.jpg,cardboard,cardboard,known,true,Known 5-class label,known_val,cardboard,cardboard,0,0.9999998807907104,14.319095611572266,-14.319095611572266,0.9999998807907104,5.586399745571846e-11,5.043509609947705e-09,3.5233842510251634e-08,9.139817080949797e-08,1080.2679443359375,-1080.2679443359375,cardboard
trashbox,ml/data/raw/trashbox/glass/glass 1573.jpg,glass,glass,known,true,Known 5-class label,known_val,glass,glass,1,0.9853000044822693,5.467920780181885,-5.482729911804199,0.001504720887169242,0.9853000044822693,6.51931986794807e-05,0.012657390907406807,0.0004726228944491595,866.08056640625,-866.08056640625,glass
garbage_v2,ml/data/raw/garbage_v2/metal/metal_652.jpg,metal,metal,known,true,Known 5-class label,known_val,metal,metal,2,0.9846481084823608,7.303315162658691,-7.318786144256592,3.6847575302090263e-07,0.006995450239628553,0.9846481084823608,8.711479495104868e-06,0.008347395807504654,1237.51953125,-1237.51953125,metal
trashbox,ml/data/raw/trashbox/glass/glass 221.jpg,glass,glass,known,true,Known 5-class label,known_val,glass,glass,1,0.6554901599884033,3.6250364780426025,-4.047408580780029,0.23560918867588043,0.6554901599884033,0.00016074809536803514,0.00030480429995805025,0.10843504965305328,1185.351318359375,-1185.351318359375,glass
realwaste,ml/data/raw/realwaste/Plastic/Plastic_308.jpg,plastic,plastic,known,true,Known 5-class label if present,known_val,plastic,plastic,4,0.9999265670776367,9.162200927734375,-9.162274360656738,1.8564305719337426e-05,1.4508426602333202e-06,1.5534985777776456e-06,5.190994488657452e-05,0.9999265670776367,956.6686401367188,-956.6686401367188,plastic
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_485.jpg,cardboard,cardboard,known,true,Known 5-class label,known_val,cardboard,cardboard,0,0.9999994039535522,13.337925910949707,-13.337926864624023,0.9999994039535522,2.1577314157639194e-08,3.744757837154111e-09,5.452691880236671e-07,1.8460128980990476e-09,1547.7706298828125,-1547.7706298828125,cardboard
trashnet,ml/data/raw/trashnet/glass/glass146.jpg,glass,glass,known,true,Known 5-class label,known_val,glass,glass,1,0.999828577041626,9.034646987915039,-9.034818649291992,2.7627547751762904e-05,0.999828577041626,0.00013564302935265005,3.5400054798628844e-07,7.690293386986014e-06,823.7589721679688,-823.7589721679688,glass
garbage_v2,ml/data/raw/garbage_v2/metal/metal_389.jpg,metal,metal,known,true,Known 5-class label,known_val,metal,metal,2,0.9997801184654236,11.200809478759766,-11.201028823852539,6.985385425650747e-08,3.4906463497463847e-08,0.9997801184654236,1.5934872976686165e-07,0.00021960043522994965,2065.06396484375,-2065.06396484375,metal
trashnet,ml/data/raw/trashnet/paper/paper154.jpg,paper,paper,known,true,Known 5-class label,known_val,paper,paper,3,0.9999998807907104,13.847689628601074,-13.847689628601074,2.742249760601112e-09,1.0160806418468837e-08,2.1915571579711468e-08,0.9999998807907104,1.2636522228604008e-07,1017.9450073242188,-1017.9450073242188,paper
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_1098.jpg,plastic,plastic,known,true,Known 5-class label,known_val,plastic,plastic,4,0.9999960660934448,11.3644437789917,-11.364447593688965,3.3835585782071576e-06,2.2363391849467007e-07,5.8288229354275245e-08,2.2333084359615896e-07,0.9999960660934448,1627.3790283203125,-1627.3790283203125,plastic
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_768.jpg,plastic,plastic,known,true,Known 5-class label,known_val,plastic,plastic,4,0.9999806880950928,9.898445129394531,-9.89846420288086,8.356942657883337e-07,1.1865548003697768e-05,4.925424491375452e-06,1.6639636442050687e-06,0.9999806880950928,519.5445556640625,-519.5445556640625,plastic
trashnet,ml/data/raw/trashnet/glass/glass481.jpg,glass,glass,known,true,Known 5-class label,known_val,glass,glass,1,0.99924635887146,7.727975368499756,-7.728729248046875,1.3498445696313865e-05,0.99924635887146,8.897432053345256e-06,5.642775431624614e-05,0.0006747980951331556,769.042236328125,-769.042236328125,glass
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_966.jpg,plastic,plastic,known,true,Known 5-class label,known_val,plastic,glass,1,0.80165034532547,6.94580602645874,-7.16688871383667,2.2413655642594676e-07,0.80165034532547,0.0019022395135834813,7.142955951167096e-07,0.19644658267498016,817.049560546875,-817.049560546875,glass
trashbox,ml/data/raw/trashbox/plastic/plastic 172.jpg,plastic,plastic,known,true,Known 5-class label,known_val,plastic,plastic,4,0.9997920393943787,8.251628875732422,-8.251836776733398,4.0286984585691243e-05,1.3035167967245798e-06,7.785124762449414e-05,8.850083395373076e-05,0.9997920393943787,1038.873046875,-1038.873046875,plastic
realwaste,ml/data/raw/realwaste/Cardboard/Cardboard_362.jpg,cardboard,cardboard,known,true,Known 5-class label if present,known_val,cardboard,cardboard,0,0.9999922513961792,12.443827629089355,-12.443835258483887,0.9999922513961792,7.066621066087464e-09,1.1666966059920014e-08,7.700498827034608e-06,5.1653611166102564e-08,1208.551025390625,-1208.551025390625,cardboard
trashnet,ml/data/raw/trashnet/glass/glass213.jpg,glass,glass,known,true,Known 5-class label,known_val,glass,glass,1,0.8800112009048462,3.6417300701141357,-3.7695508003234863,0.016461411491036415,0.8800112009048462,0.06541144102811813,0.00013693705841433257,0.03797904774546623,1304.791015625,-1304.791015625,glass
garbage_v2,ml/data/raw/garbage_v2/glass/glass_490.jpg,glass,glass,known,true,Known 5-class label,known_val,glass,glass,1,0.9999995231628418,16.153972625732422,-16.153972625732422,3.6276422404196706e-12,0.9999995231628418,3.278774196591172e-10,2.0123597233023816e-11,5.358126600185642e-07,1463.9127197265625,-1463.9127197265625,glass
trashbox,ml/data/raw/trashbox/plastic/plastic 2269.jpg,plastic,plastic,known,true,Known 5-class label,known_val,plastic,plastic,4,0.9879966378211975,6.669411659240723,-6.681487560272217,1.73358857864514e-05,0.011886832304298878,7.585613639093935e-05,2.3365455490420572e-05,0.9879966378211975,871.001708984375,-871.001708984375,plastic
garbage_v2,ml/data/raw/garbage_v2/metal/metal_538.jpg,metal,metal,known,true,Known 5-class label,known_val,metal,metal,2,1.0,17.262920379638672,-17.262920379638672,1.122579633416887e-11,4.456998325963468e-09,1.0,8.47443556301064e-12,2.873349114196344e-09,1544.2275390625,-1544.2275390625,metal
trashbox,ml/data/raw/trashbox/glass/glass 2176.jpg,glass,glass,known,true,Known 5-class label,known_val,glass,glass,1,0.9997451901435852,9.392108917236328,-9.392363548278809,3.258212245782488e-06,0.9997451901435852,4.7939982323441654e-05,8.73549979019117e-08,0.00020360731286928058,643.1634521484375,-643.1634521484375,glass
trashnet,ml/data/raw/trashnet/plastic/plastic393.jpg,plastic,plastic,known,true,Known 5-class label,known_val,plastic,plastic,4,0.999923825263977,10.790631294250488,-10.7907075881958,6.674028441011615e-08,7.528532296419144e-05,6.522463422697911e-07,2.0118470445140701e-07,0.999923825263977,548.5301513671875,-548.5301513671875,plastic
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_1262.jpg,plastic,plastic,known,true,Known 5-class label,known_val,plastic,plastic,4,0.9999163150787354,11.336830139160156,-11.3369140625,7.548655034383955e-09,8.300220360979438e-05,6.643608685408253e-07,4.3215386824613233e-08,0.9999163150787354,1031.993408203125,-1031.993408203125,plastic
