source_dataset,image_path,source_label,canonical_label,split_role,include_in_known_training,notes,split
realwaste,ml/data/raw/realwaste/Metal/Metal_693.jpg,metal,metal,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 370.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 1293.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 170.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_4.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_639.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 1770.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 619.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 667.jpg,plastic,plastic,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_486.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_1145.jpg,paper,paper,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_1323.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/paper/paper475.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/paper/paper 1525.jpg,paper,paper,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_1192.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_1382.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_626.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 1680.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 1093.jpg,plastic,plastic,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Metal/Metal_639.jpg,metal,metal,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/paper/paper 2586.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 1369.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 1868.jpg,plastic,plastic,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Plastic/Plastic_293.jpg,plastic,plastic,known,true,Known 5-class label if present,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_267.jpg,paper,paper,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_269.jpg,paper,paper,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/plastic/plastic26.jpg,plastic,plastic,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_1005.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 1476.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 1152.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 924.jpg,plastic,plastic,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_865.jpg,paper,paper,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_25.jpg,paper,paper,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Glass/Glass_381.jpg,glass,glass,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/metal/metal 1907.jpg,metal,metal,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_173.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 2217.jpg,metal,metal,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_493.jpg,paper,paper,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_460.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 2212.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 136.jpg,metal,metal,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_156.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_364.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_498.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 75.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 1462.jpg,metal,metal,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/paper/paper270.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 139.jpg,metal,metal,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/paper/paper 2424.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/paper/paper 839.jpg,paper,paper,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/glass/glass392.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_498.jpg,paper,paper,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_569.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 265.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/paper/paper 1603.jpg,paper,paper,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_1482.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 1423.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_324.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/metal/metal_133.jpg,metal,metal,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/paper/paper 1037.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 68.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 1314.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/metal/metal_773.jpg,metal,metal,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 926.jpg,metal,metal,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Plastic/Plastic_170.jpg,plastic,plastic,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 1776.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 2419.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 1575.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/paper/paper 2148.jpg,paper,paper,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_551.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/paper/paper 1567.jpg,paper,paper,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_1178.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 1338.jpg,metal,metal,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 151.jpg,metal,metal,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 1557.jpg,metal,metal,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_21.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Glass/Glass_250.jpg,glass,glass,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 1030.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/paper/paper504.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 2103.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_1703.jpg,glass,glass,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/metal/metal194.jpg,metal,metal,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 2090.jpg,metal,metal,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_331.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Plastic/Plastic_182.jpg,plastic,plastic,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 814.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_1643.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/paper/paper 551.jpg,paper,paper,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_550.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 1494.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/cardboard/cardboard81.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/metal/metal8.jpg,metal,metal,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/metal/metal147.jpg,metal,metal,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 1947.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/paper/paper 2053.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 993.jpg,plastic,plastic,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Metal/Metal_261.jpg,metal,metal,known,true,Known 5-class label if present,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_139.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 1807.jpg,plastic,plastic,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_953.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 1350.jpg,metal,metal,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_1511.jpg,plastic,plastic,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_194.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 2398.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_113.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/metal/metal_680.jpg,metal,metal,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/paper/paper 2283.jpg,paper,paper,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_1148.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 1026.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 2381.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_1569.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 640.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 1597.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 2400.jpg,plastic,plastic,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_57.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/paper/paper 904.jpg,paper,paper,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_273.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_1021.jpg,paper,paper,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_628.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 1508.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 445.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 1376.jpg,glass,glass,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/metal/metal164.jpg,metal,metal,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/paper/paper359.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 2001.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_151.jpg,plastic,plastic,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Plastic/Plastic_323.jpg,plastic,plastic,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/metal/metal 503.jpg,metal,metal,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/metal/metal203.jpg,metal,metal,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/glass/glass219.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 1349.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 553.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 1106.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Metal/Metal_122.jpg,metal,metal,known,true,Known 5-class label if present,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_1301.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 879.jpg,plastic,plastic,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Metal/Metal_323.jpg,metal,metal,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 2438.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/paper/paper 2169.jpg,paper,paper,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Cardboard/Cardboard_261.jpg,cardboard,cardboard,known,true,Known 5-class label if present,known_train
trashnet,ml/data/raw/trashnet/paper/paper386.jpg,paper,paper,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_1254.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_955.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Paper/Paper_359.jpg,paper,paper,known,true,Known 5-class label if present,known_train
trashnet,ml/data/raw/trashnet/metal/metal23.jpg,metal,metal,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 2260.jpg,plastic,plastic,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_839.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 933.jpg,metal,metal,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Glass/Glass_16.jpg,glass,glass,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/glass/glass 2004.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 1248.jpg,plastic,plastic,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_304.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_1172.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 2594.jpg,plastic,plastic,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_1097.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 376.jpg,metal,metal,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 1683.jpg,plastic,plastic,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Paper/Paper_182.jpg,paper,paper,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 328.jpg,plastic,plastic,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_1366.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 1257.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/metal/metal_372.jpg,metal,metal,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 41.jpg,metal,metal,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_1612.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 932.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_1349.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_914.jpg,glass,glass,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Metal/Metal_354.jpg,metal,metal,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/paper/paper 2103.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 1834.jpg,plastic,plastic,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Metal/Metal_427.jpg,metal,metal,known,true,Known 5-class label if present,known_train
trashnet,ml/data/raw/trashnet/cardboard/cardboard40.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/paper/paper 297.jpg,paper,paper,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_1126.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 856.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 462.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 486.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 1948.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/metal/metal_101.jpg,metal,metal,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Cardboard/Cardboard_38.jpg,cardboard,cardboard,known,true,Known 5-class label if present,known_train
realwaste,ml/data/raw/realwaste/Plastic/Plastic_368.jpg,plastic,plastic,known,true,Known 5-class label if present,known_train
realwaste,ml/data/raw/realwaste/Cardboard/Cardboard_166.jpg,cardboard,cardboard,known,true,Known 5-class label if present,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_1023.jpg,plastic,plastic,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_1050.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 1897.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 1677.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/metal/metal350.jpg,metal,metal,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 544.jpg,metal,metal,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 692.jpg,metal,metal,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/paper/paper 509.jpg,paper,paper,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/metal/metal_411.jpg,metal,metal,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_260.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/metal/metal_417.jpg,metal,metal,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_621.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_1056.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 33.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 1172.jpg,plastic,plastic,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Cardboard/Cardboard_434.jpg,cardboard,cardboard,known,true,Known 5-class label if present,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_597.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 76.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 1472.jpg,plastic,plastic,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Glass/Glass_22.jpg,glass,glass,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/paper/paper 406.jpg,paper,paper,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_444.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/paper/paper 1280.jpg,paper,paper,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Paper/Paper_274.jpg,paper,paper,known,true,Known 5-class label if present,known_train
garbage_v2,ml/data/raw/garbage_v2/metal/metal_456.jpg,metal,metal,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Metal/Metal_298.jpg,metal,metal,known,true,Known 5-class label if present,known_train
realwaste,ml/data/raw/realwaste/Metal/Metal_20.jpg,metal,metal,known,true,Known 5-class label if present,known_train
garbage_v2,ml/data/raw/garbage_v2/metal/metal_738.jpg,metal,metal,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Plastic/Plastic_392.jpg,plastic,plastic,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 2362.jpg,plastic,plastic,known,true,Known 5-class label,known_train
