source_dataset,image_path,source_label,canonical_label,split_role,include_in_known_training,notes
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_116.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_117.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_118.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_119.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_12.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_120.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_121.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_122.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_123.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_124.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_125.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_126.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_127.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_128.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_129.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_13.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_130.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_131.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_132.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_133.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_134.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_135.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_136.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_137.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_138.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_139.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_14.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_140.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_141.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_142.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_143.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_144.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_145.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_146.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_147.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_148.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_149.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_15.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_150.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_151.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_152.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_153.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_154.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_155.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_156.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_157.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_158.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_159.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_16.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_160.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_161.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_162.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_163.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_164.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_165.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_166.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_167.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_168.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_169.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_17.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_170.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_171.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_172.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_173.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_174.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_175.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_176.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_177.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_178.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_179.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_18.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_180.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_181.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_182.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_183.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_184.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_185.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_186.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_187.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_188.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_189.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_19.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_190.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_191.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_192.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_193.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_194.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_195.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_196.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_197.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_198.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_199.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_2.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_20.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_200.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_201.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_202.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_203.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_204.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_205.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_206.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_207.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_208.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_209.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_21.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_210.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_211.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_212.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_213.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_214.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_215.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_216.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_217.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_218.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_219.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_22.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_220.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_221.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_222.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_223.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_224.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_225.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_226.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_227.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_228.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_229.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_23.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_230.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_231.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_232.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_233.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_234.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_235.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_236.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_237.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_238.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_239.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_24.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_240.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_241.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_242.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_243.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_244.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_245.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_246.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_247.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_248.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_249.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_25.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_250.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_251.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_252.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_253.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_254.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_255.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_256.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_257.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_258.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_259.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_26.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_260.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_261.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_262.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_263.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_264.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_265.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_266.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_267.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_268.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_269.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_27.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_270.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_271.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_272.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_273.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_274.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_275.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_276.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_277.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_278.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_279.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_28.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_280.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_281.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_282.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_283.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_284.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_285.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_286.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_287.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_288.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_289.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_29.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_290.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_291.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_292.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_293.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_294.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_295.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_296.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_297.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_298.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_299.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_3.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
realwaste,ml/data/raw/realwaste/Food Organics/Food Organics_30.jpg,food organics,biological,unknown,false,Held out as unknown evaluation only
